Price,Year,Mileage,City,State,Vin,Make,Model
9995,2011,45153,Geenville, SC,19XFA1F32BE005323,Honda,Civic
13580,2014,52055,Columbia, MO,19XFB2F55EE027843,Honda,Civic
14997,2016,28881,Gastonia, NC,19XFC2E55GE025396,Honda,Civic
15578,2014,19101,Annapolis, MD,2HGFB2F89EH552730,Honda,Civic
6980,2010,75026,Miami, FL,2HGFA1F54AH571098,Honda,Civic
16000,2015,21430,Jacksonville, FL,19XFB2F84FE046850,Honda,Civic
15980,2014,25224,Fort Collins, CO,2HGFB2F81EH536098,Honda,Civic
13350,2015,51230,Estero, FL,19XFB2F50FE051369,Honda,Civic
13000,2013,36066,Conway, AR,19XFB2F54DE061528,Honda,Civic
14200,2015,28993,Ewing, NJ,19XFB2F53FE296621,Honda,Civic
14857,2014,34395,Everett, WA,19XFB2F52EE239020,Honda,Civic
14995,2016,28026,Charlotte, NC,19XFC2F51GE017441,Honda,Civic
14993,2014,19687,Yorktown Heights, NY,2HGFB2F51EH549214,Honda,Civic
13900,2014,33385,Houston, TX,19XFB2F51EE027838,Honda,Civic
14991,2014,23056,Napa, CA,19XFB2F59EE263332,Honda,Civic
8500,2009,65350,Cathedral City, CA,2HGFA16569H332146,Honda,Civic
13299,2015,39892,Pacoima, CA,19XFB2F55FE203937,Honda,Civic
11898,2013,47692,Chesapeake, VA,2HGFB2F54DH538058,Honda,Civic
13997,2014,22900,Glen Burnie, MD,2HGFB2F56EH538323,Honda,Civic
12500,2014,40935,Louisville, KY,2HGFB2F55EH518466,Honda,Civic
13950,2015,39165,Glendora, CA,2HGFB2F50FH567236,Honda,Civic
13888,2014,26168,Tukwila, WA,19XFB2F54EE249824,Honda,Civic
13988,2014,43599,Leesburg, VA,19XFB2F84EE264978,Honda,Civic
15988,2015,25535,Florida City, FL,19XFB2F8XFE060672,Honda,Civic
17375,2015,19639,Westminster, MD,19XFB2F96FE252986,Honda,Civic
12000,2012,29815,Louisville, KY,2HGFB2F5XCH612064,Honda,Civic
12995,2014,35040,Westampton, NJ,19XFB2F86EE251472,Honda,Civic
13450,2014,36713,North Richland Hills, TX,2HGFB2F53EH508678,Honda,Civic
14546,2014,24399,Nanuet, NY,19XFB2F82EE246396,Honda,Civic
14977,2014,22922,Roswell, GA,19XFB2F59EE048873,Honda,Civic
11997,2014,56897,Madera, CA,19XFB2F53EE223943,Honda,Civic
12000,2013,55194,Austin, TX,19XFB2F53DE257718,Honda,Civic
12780,2014,47486,Fort Lauderdale, FL,2HGFB2F81EH552656,Honda,Civic
9965,2012,65131,Old Bridge, NJ,19XFB2F84CE319670,Honda,Civic
12650,2014,39230,Fredericksburg, VA,19XFB2F57EE208376,Honda,Civic
11987,2015,70028,Kansas City, KS,19XFB2F58FE110376,Honda,Civic
11623,2013,41998,Hazle Township, PA,19XFB2F5XDE259031,Honda,Civic
13570,2013,25192,Mountain View, CA,19XFB2F84DE277339,Honda,Civic
12997,2014,35997,Freehold, NJ,19XFB2F53EE258515,Honda,Civic
17350,2016,3545,Staten Island, NY,2HGFC2F52GH530316,Honda,Civic
